cod_representante,cod_cliente,cod_persona,num_telefono,correo_empresarial,cargo
1,9,677,924639305,jose.castillo@sanfernando.com,Gerente de producción
2,8,55,969435648,fernando.rodriguez@plazaveayvivanda.com,Gerente de producción
3,7,22,991186808,fernando.diaz@tottus.com,Gerente de almacen
4,4,912,970616094,julio.mamano@sanfernando.com,Gerente de recursos humanos
5,4,311,963331960,alex.fernandez@sanfernando.com,Gerente de recursos humanos
6,3,925,940307577,julio.rojas@makro.com,Gerente de almacen
7,2,650,914540107,alex.fernandez@sanfernando.com,Gerente de producción
8,7,372,994918097,fernando.perez@bodega:mass.com,Gerente de recursos humanos
9,7,484,909317694,carlos.castillo@sanfernando.com,Gerente de almacen
10,11,952,948728710,cristhian.castillo@bodega:mass.com,Gerente de recursos humanos
11,1,338,949882189,leonardo.diaz@sanfernando.com,Gerente de recursos humanos
12,9,609,927038917,fernando.fernandez@sanfernando.com,Gerente de logística
13,10,635,966563739,leonardo.castillo@sanfernando.com,Gerente de almacen
14,3,100,947714105,ana.rojas@bodega:mass.com,Gerente de producción
15,8,873,926778355,juan.rojas@bodega:mass.com,Gerente de producción
16,8,215,958169316,luis.castillo@sanfernando.com,Gerente de producción
17,6,844,937961389,elena.martinez@sanfernando.com,Gerente de recursos humanos
18,3,939,939635323,ana.gonzalez@tottus.com,Gerente de producción
19,1,275,919507248,fernando.fernandez@sanfernando.com,Gerente de producción
20,5,181,969471864,juan.castillo@wongymetro.com,Gerente de producción
21,8,726,984537551,ana.huaman@sanfernando.com,Gerente de producción
22,8,662,907586932,diana.gomez@sanfernando.com,Gerente de logística
23,2,644,911893349,carlos.rodriguez@wongymetro.com,Gerente de producción
24,8,768,920012798,luis.perez@sanfernando.com,Gerente de recursos humanos
25,3,280,993776732,maria.gomez@wongymetro.com,Gerente de producción
26,9,301,919749447,diego.castillo@sanfernando.com,Gerente de almacen
27,11,437,989102024,pedro.gonzalez@sanfernando.com,Gerente de recursos humanos
28,5,862,918681573,maria.rojas@sanfernando.com,Gerente de producción
29,2,733,985618378,pedro.ruiz@tottus.com,Gerente de producción
30,4,9,918396118,diego.mamano@sanfernando.com,Gerente de producción
31,3,624,949512582,julio.martinez@wongymetro.com,Gerente de almacen
32,9,927,979793902,leonardo.diaz@sanfernando.com,Gerente de producción
33,4,652,988056483,carlos.perez@sanfernando.com,Gerente de recursos humanos
34,9,902,934452455,elena.mamano@tottus.com,Gerente de producción
35,11,659,999385330,diego.mamano@makro.com,Gerente de producción
36,8,528,910250375,alex.cárdenas@sanfernando.com,Gerente de producción
37,11,881,925907993,julio.vargas@sanfernando.com,Gerente de producción
38,4,525,995766448,pedro.gonzalez@sanfernando.com,Gerente de almacen
39,5,363,917267214,fernando.gomez@plazaveayvivanda.com,Gerente de logística
40,11,756,912173885,elena.huaman@sanfernando.com,Gerente de logística
41,5,319,917829372,leonardo.gomez@sanfernando.com,Gerente de recursos humanos
42,11,266,968444872,pedro.ruiz@sanfernando.com,Gerente de producción
43,9,379,951432685,pedro.castillo@sanfernando.com,Gerente de producción
44,3,866,981282141,julio.gomez@makro.com,Gerente de almacen
45,1,670,922100177,maria.huaman@sanfernando.com,Gerente de almacen
46,7,816,984425851,diego.vargas@plazaveayvivanda.com,Gerente de logística
47,5,825,939323391,alex.castillo@sanfernando.com,Gerente de logística
48,8,3,977063377,leonardo.cárdenas@sanfernando.com,Gerente de producción
49,6,958,939668651,julio.gomez@plazaveayvivanda.com,Gerente de recursos humanos
50,3,23,943807039,ana.diaz@bodega:mass.com,Gerente de almacen
51,7,211,977658509,pedro.martinez@sanfernando.com,Gerente de recursos humanos
52,2,355,925255966,leonardo.rodriguez@sanfernando.com,Gerente de almacen
53,2,680,958954005,ana.lopez@makro.com,Gerente de recursos humanos
54,1,549,966878931,ana.castillo@bodega:mass.com,Gerente de producción
55,11,414,979801766,fernando.huaman@bodega:mass.com,Gerente de producción
56,7,607,983022002,ana.ruiz@sanfernando.com,Gerente de producción
57,10,372,995900070,julio.gomez@wongymetro.com,Gerente de logística
58,2,481,940457620,maria.gonzalez@wongymetro.com,Gerente de logística
59,5,686,983932806,diego.cárdenas@tottus.com,Gerente de logística
60,1,100,954656505,juan.castillo@tottus.com,Gerente de almacen
61,10,816,919919780,julio.ruiz@wongymetro.com,Gerente de logística
62,2,13,910474933,diana.cárdenas@sanfernando.com,Gerente de producción
63,4,943,988576915,diego.rojas@sanfernando.com,Gerente de recursos humanos
64,9,434,967917048,pedro.huaman@sanfernando.com,Gerente de almacen
65,1,593,947313307,maria.rodriguez@wongymetro.com,Gerente de logística
66,8,365,995451509,leonardo.vargas@sanfernando.com,Gerente de almacen
67,4,983,977150989,diego.perez@tottus.com,Gerente de recursos humanos
68,8,433,981224543,diana.mamano@wongymetro.com,Gerente de almacen
69,2,91,925901963,jose.lopez@sanfernando.com,Gerente de producción
70,6,863,994784982,juan.cárdenas@sanfernando.com,Gerente de producción
71,11,376,986555860,jose.cárdenas@makro.com,Gerente de producción
72,3,417,908641269,carlos.rodriguez@sanfernando.com,Gerente de producción
73,7,244,964303197,julio.rojas@sanfernando.com,Gerente de producción
74,3,616,985977570,luis.castillo@tottus.com,Gerente de recursos humanos
75,11,652,905583462,elena.rojas@sanfernando.com,Gerente de almacen
76,6,736,960167327,juan.gonzalez@sanfernando.com,Gerente de producción
77,3,370,947336259,julio.gonzalez@sanfernando.com,Gerente de producción
78,9,839,921155557,diego.diaz@wongymetro.com,Gerente de logística
79,1,402,974426756,ana.ruiz@makro.com,Gerente de recursos humanos
80,3,72,924924870,diana.gonzalez@tottus.com,Gerente de producción
81,7,486,926632581,alex.vargas@sanfernando.com,Gerente de logística
82,11,829,968017893,jose.rodriguez@sanfernando.com,Gerente de producción
83,9,537,993630964,juan.mamano@sanfernando.com,Gerente de logística
84,9,911,993206730,ana.vargas@tottus.com,Gerente de producción
